,Actual,Predicted
7316,1.721,1.5987181856193402
16885,5.00001,3.4049455363865704
15890,1.938,1.7242316051698126
10033,1.052,0.46608498834874723
13597,0.908,1.18122491380376
4667,1.688,1.5096587656431737
16330,1.621,1.4599839081560972
6541,1.612,2.2608464021645602
7228,1.375,1.6498122080697115
9845,2.893,2.5064246836994997
10385,2.787,2.796985996833648
10885,1.617,2.2407446373688984
11096,2.31,2.6490662959195603
9571,0.875,0.8820853140279894
5222,0.957,1.350842691394
15607,2.406,2.824917366676779
6814,2.141,1.9690877675022378
3485,4.286,3.6766676443066544
9877,1.25,1.841566679118884
18786,0.764,0.3444670806653889
17198,2.638,3.2177459861892572
20125,1.204,2.0353086975866646
19818,1.091,1.1309081273245525
3912,1.706,1.839728581373457
17825,2.574,2.8800496443554167
17639,3.2,2.911996623649877
14015,2.896,2.2086433844434126
15397,3.073,2.7359155701697304
10428,3.255,2.99495305156681
19766,0.584,0.3805509968683438
13925,0.485,-0.5910847565069801
9942,2.167,1.3597694128446562
13933,0.979,1.4071900671098163
1097,1.586,1.4578148839968748
2115,0.69,0.932124770687814
1493,3.223,3.04858243035045
18466,4.677,3.4160187846336925
15030,1.63,1.9753486939424363
17923,2.871,2.7186391301608523
2334,0.546,0.5792985590659896
5216,0.904,1.1762920799672614
6241,1.555,1.7833852941907296
4629,1.75,1.7125393740904826
18177,4.112,4.088092333574899
5059,3.321,2.0954750268095097
7547,1.412,2.0550898498292653
563,2.471,2.8728252594607753
6421,1.53,1.5672814015810772
4496,1.55,2.065398087937396
13015,3.908,0.867805839676862
19959,0.9,1.0131006100528026
3921,1.967,2.29645044211955
12414,0.682,0.982498391534854
4046,5.00001,5.096408163745451
5236,0.921,1.7266509555205616
16757,2.979,2.3936593069717134
10761,5.00001,4.497722814211436
19071,3.323,2.8180309013560745
18914,1.711,2.5052673237298038
3482,1.521,2.4139466319341096
16038,2.32,2.0668007516266655
19485,1.271,0.49390395253424657
9658,0.875,0.6352749296390314
7107,2.034,2.3930080412803676
18656,2.286,2.0226614072877567
7278,1.167,1.8183910082868593
17798,4.167,5.766562333617223
8538,2.276,3.0003379797579086
15293,2.679,3.0029101843128743
18884,0.972,1.7264799896647816
6641,1.375,1.733655558534977
4388,1.988,1.8517709553855966
19854,0.686,0.7860424604994947
18247,3.525,2.451615116262424
4914,1.038,1.6837798154077674
1901,1.078,0.3535817173633333
13017,1.317,1.4996478076666477
15907,2.713,2.7929334150750833
13570,0.973,1.8293403269644202
9466,0.95,1.6894033439984355
19151,0.675,1.233157093787895
5826,3.261,2.6047084110877634
13915,0.656,0.5389765757425735
10559,2.256,2.396347412532414
14366,2.638,2.3990775376746996
5477,3.483,2.701812155865845
8981,3.25,2.2049243174349797
4954,1.088,1.443143906820147
15757,4.0,2.9291369499012916
11735,1.384,0.7371076675828903
3210,0.61,1.101861366176479
16950,4.531,3.935192883169769
8632,5.00001,4.5145762465393915
5207,1.202,1.9858353567171037
8591,3.292,2.7363638652185003
8198,1.963,2.1490374651350024
11903,1.5,1.4334008770178244
6512,1.52,1.917051628580758
474,1.699,1.7095714661660892
10199,1.375,1.1981309961116295
7723,2.83,2.4637613461520047
14816,4.045,2.8292497243038497
14733,1.935,2.483434675260355
14657,2.051,2.663364477828644
12988,1.456,1.5559502743931048
20565,2.25,1.0501745190083795
19296,2.159,2.326857698597543
4475,1.585,1.982801538871172
1290,1.247,1.9311815603019369
12425,0.654,0.45709878377146396
20450,2.802,2.6689816234869497
7149,1.805,1.7012303081441686
13449,1.054,1.6082926980162853
5226,1.0,1.175357131727182
15021,1.663,1.59105467002734
17353,1.58,3.1708310811099665
18169,2.438,2.486681891461359
408,3.629,3.722183995025574
7655,2.019,2.5096347335243365
9665,0.526,-0.6881221826725934
5357,5.00001,2.873333628843973
7387,1.12,1.6876500782026156
13175,2.25,2.1817830925785273
15242,4.399,3.385570483140839
13651,0.883,1.2269711903919003
17108,5.00001,7.0164103477085575
385,2.768,2.186369032706331
6887,1.792,1.9869838642410471
7101,1.997,2.061254184912812
15002,1.32,1.1445710657180896
11532,0.613,1.4277984141061637
18872,1.719,2.5189183688060908
1034,1.238,1.154152577025144
11986,1.353,1.1248742782882815
13530,1.371,2.112995633313666
4463,1.293,1.9146795832027053
20347,2.279,2.354174565538507
13112,0.944,1.1768900292664952
18886,1.035,1.9492425219494223
14808,3.208,2.1296704734527836
20349,1.25,3.745453570030712
971,3.324,3.2530199095875005
13338,1.591,1.9315431787884094
17881,2.369,3.303522492977841
11517,4.616,4.097177916950109
6243,1.569,1.9573036386393525
3015,1.482,1.6955332243690862
14664,1.665,1.8902435850209898
5802,1.969,1.5158711779431684
4417,1.678,1.9225659238075608
16341,1.267,0.9642895859737877
8291,5.00001,2.344459840140857
1166,0.579,0.48875309673398704
17884,2.38,2.8352336420783075
15055,1.42,2.2778662995592427
9070,0.869,0.6686575208290719
1201,0.56,0.7134624036641597
8574,5.00001,3.6993011058084804
14847,1.124,1.768115190024396
16251,0.636,1.4210875165216805
17042,4.313,3.908543298561149
4577,2.659,1.7230026056466556
2501,0.58,1.1432544998374325
2859,1.941,3.154155211930785
10275,1.428,1.9618945712156162
7247,1.787,1.7015992010389454
3682,1.875,1.2890928132568362
11055,2.25,2.3926496649376006
20168,3.13,2.7068466196755523
8875,5.00001,6.523495899921059
7794,1.536,2.048917395402455
9264,0.623,1.0349994242211977
12375,1.945,1.4799773278492765
11997,1.639,2.0639634624272603
9960,3.988,3.5222289604601755
18605,2.041,2.8012945836558956
20171,1.993,2.836754641972284
6649,1.767,1.622759332970439
10796,5.00001,4.420789237090453
15608,2.489,2.5177628970833155
7346,1.5,1.831960890103666
13377,2.317,2.036808036591218
12281,0.58,0.749148584634554
1911,1.26,1.1661550783966774
6951,1.633,1.8672749282724723
16495,1.134,1.3737157307468024
18680,3.0,2.638989517246692
17011,3.109,3.019795433334025
11370,2.188,2.1600924565978517
2140,0.704,1.1566014104063385
1692,2.377,2.9875977547430494
14966,1.188,1.3250304798634502
2754,0.731,0.4334935392805406
19553,0.75,0.9303290644510795
3481,4.507,3.9748881957243256
1457,2.402,2.6218618846353436
2698,0.658,0.6921939142901508
13888,0.647,0.25947044522531826
7983,1.751,2.4722841706476117
3964,2.237,2.1215940029457627
20586,0.963,1.3569602709176394
16872,4.051,3.248030966691026
16956,3.768,3.093157992625045
14459,5.00001,5.432126733327571
803,3.5,2.239411516109115
20355,1.625,1.4167793318307247
10217,1.773,2.0105153458165077
5116,0.984,1.2987466710063416
9992,1.388,0.4362080171029987
8395,1.75,2.5305650020736365
18534,2.609,2.2050962633524946
2797,1.047,0.33143258169121026
11218,1.595,2.32081187442963
8610,2.959,2.8193133670554644
14649,1.375,2.201792724289099
9854,5.00001,3.8089515017737128
10476,2.27,2.568317714074567
5711,2.639,2.016727647737774
13206,1.604,1.655584354314108
5107,1.42,1.9459029710374907
7030,1.625,2.266759238781603
8460,2.304,2.176778438659916
17148,5.00001,3.863440752072762
17965,2.177,2.668587688612419
9002,1.83,2.289962976854561
17841,2.458,2.131142767520238
19167,1.292,1.365395253618793
9243,0.604,0.5102912369374337
2559,0.675,1.1438256547432033
18674,2.952,2.730460295264173
11678,1.926,2.653576917710062
6933,1.506,2.141625553006243
9042,1.257,1.8765237875748397
19688,0.634,0.8975523659648914
12868,1.513,1.40019332164821
3984,2.456,3.0451282265109185
11037,5.00001,5.226939569568536
5601,1.655,2.4633926811673987
13445,1.135,1.421954913673197
16169,3.222,2.2712332755228886
8843,3.625,2.2731188215367055
19855,0.696,0.8974290749621758
7434,1.561,1.932604051253044
14763,0.875,1.5841368074240307
11617,1.931,2.0361130480573806
11217,2.18,2.2804896915866593
7497,1.018,1.6487842128200683
4985,1.291,1.4532186449958857
16424,1.563,1.483825291746875
14513,1.832,2.325208203317942
7439,1.481,1.8135488635528318
4678,5.00001,6.913557001141349
10806,2.221,2.8959708547870022
4148,1.676,2.2447409927793416
5815,1.845,1.6815884446850617
15806,3.7,2.533557180773677
16040,2.394,2.461778041087584
7014,1.667,2.1550146205001823
6866,2.333,1.5468722162031767
18536,2.4,2.1293901460269566
1870,0.913,0.4192621153639635
3572,4.835,3.964712284200189
7256,1.505,2.2546735499613604
19572,0.995,1.01363983809118
3739,2.402,1.8416691008718828
351,0.955,1.9044027472604057
10743,5.00001,4.895849343793323
6472,2.516,2.33217709616482
15062,1.208,1.036580343620976
12973,1.357,1.485179129397622
3941,2.254,2.755017976761657
4115,5.00001,2.330676709762635
3366,0.851,0.17059786064645976
9022,5.00001,2.838834545164424
7438,1.648,1.985121807881221
13003,1.116,0.9940685326251142
12896,1.61,1.3918581504502399
1642,2.137,2.315601367390876
20089,1.165,1.0085656450600524
18505,3.5,5.2775523152809924
8344,1.599,2.497252227563358
4219,4.383,1.9808887025757258
1713,1.711,2.4345031465775193
8785,2.711,2.243638005200907
17306,5.00001,1.9108669679260046
19558,0.68,1.4020604760395727
3820,1.917,1.842418880045713
11581,2.559,2.7865796075031426
4484,1.125,1.6878748601452642
14734,1.822,1.8864846515976055
119,3.476,2.848559487761001
18018,3.32,2.941048892409647
16497,1.109,1.1848601644564596
3711,2.119,2.07959158660433
3901,2.625,2.415018640151061
20149,2.379,2.382806823313068
7495,0.9,1.8563442356784705
8673,4.272,2.693174932354445
14548,3.705,2.966160686821773
1077,1.163,0.7692658689665208
11688,1.708,1.6863272519725854
3474,2.855,3.287255682040083
11915,1.115,1.6455467558706331
2189,0.832,1.5725398612066144
936,2.482,2.6474961877657393
17038,3.955,2.8634417581792846
5900,2.183,1.8710768869362866
18294,5.00001,3.894261966727001
1182,0.889,0.7514515063068288
606,1.81,1.998062345247412
17466,2.809,3.2078972256355556
4720,3.453,1.9829038633169773
6285,1.81,2.3652802748937276
7071,1.922,2.6581166764380058
20635,0.781,0.11879577460247503
19516,0.75,0.8564740449853758
1599,4.333,3.8123340348747874
6149,1.601,2.0157193971536174
12164,1.092,1.0634753475971124
12827,0.962,1.3988257866691924
11799,1.914,1.4684032929934006
11716,3.6,0.949128433534213
19275,1.856,2.524083105596297
12273,1.188,0.8013933865457332
208,1.227,1.405601811797787
13375,2.063,2.063425914915932
13416,1.956,1.8443661330820191
14274,0.756,1.7020388534416782
19745,1.043,0.9729274156608696
4104,3.859,2.363458458617771
14146,1.139,1.7844521829653601
1788,0.794,1.5867546380651234
2174,0.813,0.8880393292107556
8393,1.292,1.9487904539946044
3335,0.735,0.9159443075559537
1427,1.759,2.317241891533996
3503,1.424,2.048905316504822
4741,2.341,1.9255907463039748
17013,2.867,2.429510619927136
13143,0.925,1.4679946569775382
15144,1.701,1.9639336793252582
9875,1.618,2.235562408007837
8139,2.253,2.644280920163652
8410,1.706,1.7657994259133787
5379,3.194,2.076894219012374
3045,0.958,1.5385758976710875
12299,0.734,0.9259081486901408
11863,0.936,0.7394743429530664
2235,0.517,0.7328992229186682
5468,3.587,2.2511311273076515
2267,0.647,0.7480358978532067
15227,3.442,2.8810192348838584
9300,3.14,3.007341441857754
5394,1.857,1.9793402956315234
1504,2.793,2.5642898029156527
503,1.194,2.2113174843019507
17997,2.804,3.0249629710398267
1272,1.871,2.141346502285664
2602,0.838,0.8034699774977767
6779,3.093,2.1275671612150546
18926,2.292,2.8670732303518562
18514,2.45,2.1543100377534117
8137,2.276,3.032401235296163
5348,5.00001,2.852087325373155
16614,3.208,2.4670524685056208
13005,1.473,1.2556804358745595
14945,1.623,2.41233477057132
10475,2.659,3.0456590697423422
8639,5.00001,3.756642591369207
14515,1.891,2.2257583214535543
15044,3.164,3.204709873836883
3668,1.819,1.7497183341710283
14020,2.615,2.046521190872639
13506,0.69,0.7150780470897544
15898,1.813,2.0642520417500165
8599,2.93,2.739587004795972
13526,1.111,1.7245674114059213
7948,2.183,2.723828504464727
4518,1.472,1.6446283279475438
20311,2.438,1.8341906809596722
5963,2.23,2.140293211054342
6128,1.375,1.6052281274563
18754,0.606,0.2530533684625027
3125,2.75,0.049970834696587474
17248,3.5,2.0369817881479335
3698,1.712,1.6970893079921296
323,0.835,2.011471046906884
5683,2.25,2.276383345907888
17573,1.656,1.9651428420941457
3489,1.52,2.1255678863165457
15893,1.92,2.081322611720573
14736,2.542,2.912603233222221
9039,1.5,1.0489623689099474
11615,2.125,2.3301595469688223
18752,0.804,0.20271659405131714
828,2.065,2.9644672472269207
17180,3.311,3.3791852085947127
3922,2.014,2.9373303035898672
13105,1.884,1.7441435332362616
10630,1.954,2.3117916227907997
18051,4.425,4.04729988240863
17452,1.527,2.899832197723285
4074,5.00001,5.228901045898624
8149,2.398,2.7672955364150624
19648,1.594,1.3024016704721078
12399,0.918,0.9936816675082909
15930,2.409,2.7347230939873626
5998,1.364,1.6902704197801341
14835,1.036,1.4912253061712732
16459,1.325,1.618917676467305
16975,2.929,2.4341602269416143
2766,0.628,1.270944135215153
1807,1.121,1.9546695666566407
2848,0.891,1.572720904697995
12255,1.207,0.992661651920514
15731,4.714,2.6038038029615933
6717,3.147,2.6826940301625157
7733,2.264,2.458437257628866
14814,4.097,2.4319687771399217
7048,1.49,1.3695953098660496
2041,1.717,2.9169154197038054
1393,2.355,3.0540354559961074
10508,3.228,2.6464890481860692
18120,2.445,2.879568568212896
12194,1.622,1.5455367243703435
1530,3.409,3.2095640621241444
2893,0.574,1.0318174754385439
3703,1.989,2.0448610820861717
34,1.097,2.0610831567858057
4966,1.375,1.385024809910945
3113,0.857,1.161229548972841
20633,0.983,0.80101291011961
10107,1.782,2.113440649985826
18506,1.375,1.5019279458192614
15911,2.75,2.6050939897877896
10158,3.815,3.1925606144285226
8585,5.00001,4.047534319770001
14467,5.00001,4.796042433861182
11715,1.792,0.7067408873617964
16638,2.045,2.434414405925338
5687,3.941,3.3685902137080035
11552,1.844,1.9638422857805367
720,1.74,1.8977118480513298
9536,0.807,1.264436503604749
1398,1.896,2.337058437310553
2467,0.6,1.185335164534287
7580,1.266,1.732678296187835
11464,2.625,2.077636191032063
218,1.392,1.986450492220861
2020,0.513,0.5318114791808455
20493,2.292,2.9714869341617813
2305,1.011,1.7740592540086908
9071,0.977,1.300025575075054
4445,1.583,1.440041753019166
1535,3.491,3.5551443414001795
2300,0.855,1.4220055669491032
7949,2.141,2.7436270428426255
8164,2.271,2.555843256322781
15134,1.557,1.5374929011922234
2638,0.668,0.9763269322855095
6231,2.073,2.631627652862896
16560,2.228,1.8944763200446815
15766,3.545,2.268070381405522
8908,3.405,2.3106828033280493
20009,0.529,0.876948452707488
438,1.406,2.1337130488356735
6271,1.508,1.5644609871742574
9664,0.561,-1.0137928122565967
960,2.596,2.80959594944823
8731,3.189,2.5131327506639707
8342,1.484,2.537149394631932
6320,2.899,2.320901877847838
10156,1.618,2.5047221482897015
8552,2.55,1.8270432540401913
16381,0.875,1.2649589164688209
10115,2.45,2.7975314104420193
8977,3.05,2.0742239712369397
6723,2.15,2.1936360486883544
14012,2.49,2.2712167163967933
8852,5.00001,6.838605442085935
5503,3.2,1.9984666437098397
7046,1.74,2.4509705912310835
17583,2.925,2.848620827312729
14483,5.00001,4.043900900012595
520,2.899,3.0281174737582006
18312,4.384,3.074640834981956
4398,1.82,2.256727003831223
5050,1.705,0.7767446904581305
2265,0.692,1.1700844867862443
14854,0.956,1.4984917239287228
10657,2.728,3.138051159008363
19057,0.813,2.1393216032022835
16113,2.724,2.6532659804316836
16709,1.526,2.1752337362891083
16274,0.559,1.227063001380884
10315,2.135,2.4172749414781336
12811,3.313,1.5025888078380945
11243,2.018,2.339039129200607
2084,0.571,1.2476711860467944
5888,3.318,2.544896143795256
6405,3.659,2.3124605006458623
16557,1.275,1.3155556959267543
2388,1.118,1.074275191253399
16817,3.537,2.8098799747592196
20207,2.293,2.4785020418265162
5225,0.875,1.173501254654525
8510,2.375,1.713809483828534
18729,1.133,0.516330694826209
13460,1.125,1.0099563499072417
9049,1.385,1.0729006151923954
14441,3.074,2.135143684060594
7582,1.009,1.7620648105867005
20554,0.978,1.0808336279028268
3386,1.767,1.958147675705952
9862,2.18,2.18038687885565
18230,2.906,2.2146968964073963
7781,1.577,2.216623833899561
10388,3.48,3.3171663152675492
16291,0.672,1.2882179520550991
6687,2.604,1.9886905106419093
1052,1.236,1.224248718415474
3208,0.675,0.7521962013421799
13027,1.307,1.3293533030863571
18774,0.66,0.509709005091942
1433,1.666,2.4760424340404725
15458,2.256,2.1130762915101755
5735,2.571,1.9749321892809562
10727,5.00001,5.346940194962734
7571,1.139,1.8684375659026031
12047,0.91,1.6007131353345017
12944,2.174,1.9070853664501044
13775,0.96,1.0030924998202693
1027,1.292,0.7925765481423284
11414,3.502,3.229437333771479
10726,4.421,4.965818788044395
15603,2.229,1.5169195206340618
19551,0.813,1.0483254154330552
10927,1.606,1.87614404520572
9016,5.00001,3.2159841798600297
3488,3.412,3.2429500475094812
20364,2.879,3.1185695474499724
18163,3.447,3.5023160465008303
11237,1.8,2.435791786364838
10406,1.678,2.3623586434533976
12378,0.55,0.9246761920117734
2885,0.508,1.0695591982920973
11355,1.426,2.1225290008692994
17691,2.358,2.34964062730419
18865,1.127,1.9178606084643945
8116,2.102,2.450550663294422
9760,2.107,1.76987520693973
12604,0.654,0.8884606740196972
8246,1.625,1.8314146894599403
6357,1.503,1.4667741521165354
5350,5.00001,2.7671791637636076
313,1.014,1.9858140360775494
4024,2.218,2.1793431333460305
18485,2.603,2.4333440550906005
11058,1.788,1.6427662741087516
3699,1.704,1.7687835527409206
3473,3.194,3.2883968722855954
9771,1.906,2.5365107526707718
15336,1.841,1.7966777961542846
3910,1.911,1.9576096168764678
5106,1.496,2.6898732535128502
17152,5.00001,3.0870527751222667
7040,1.834,2.1726849353951394
15543,4.441,3.5803082124348506
16856,2.427,2.3864637591482065
11967,0.762,1.168639935510292
1730,1.329,2.250670568699782
5727,4.098,2.19195664067599
13047,1.125,1.021554308681715
18318,3.766,3.1452570835152116
16256,0.505,1.35228967446956
4069,5.00001,3.2871438326419735
812,2.095,2.305628463464423
18808,0.778,0.3199269541340968
20212,2.997,2.958777863347379
9192,3.75,2.440789082419485
14744,1.565,1.633917101054557
17617,2.4,2.414754404446853
19770,0.772,0.5758789235969317
20014,0.985,1.1899225689530581
15621,5.00001,2.44520978308001
16579,1.104,2.0544717851913745
2485,0.864,1.7802845285968516
4293,2.304,1.848537812761542
6355,1.639,1.9819570671468583
18288,5.00001,3.9936124718173076
3353,0.495,0.1888481148379526
9125,1.074,1.8713380686521148
9790,3.625,2.3453757596784115
7159,1.45,1.7787794717329817
17898,2.185,2.297425332812942
6427,1.301,1.8600506397378496
7911,1.46,2.061345943676855
20556,1.525,0.96624444549213
16957,4.572,3.597031748888284
1297,1.652,2.1979391730170477
5426,3.947,2.0319526195968294
14784,1.444,2.050277326018495
12705,1.366,1.3231197970088857
19030,2.164,2.7111484041071208
16510,1.39,1.4184435690878772
19676,1.038,0.7142461984174915
8765,4.885,3.2215321812905344
15501,2.271,2.153290306937201
10381,2.38,1.9071361842117724
3393,2.156,3.084939938409839
127,2.923,3.2889239255458946
14864,1.459,1.931291523418679
12204,1.873,1.472748073226903
11827,1.854,1.0685032841011335
5742,2.8,1.6539857855905495
7471,1.411,1.8663523052109312
718,1.909,1.9837656891843807
13473,2.625,1.976941346167969
9415,4.42,3.0043084022943702
20403,2.748,3.097790477088431
13539,0.855,1.0222318189504591
856,2.318,2.8892689825457083
20494,3.02,2.9935542858105606
3950,2.358,2.947408749357642
2516,0.722,0.967396783376195
17753,1.824,2.187026376735993
15618,5.00001,3.2634926412468417
1087,0.787,0.6411546945437578
3843,1.813,1.5542559192854455
5934,1.98,2.214760093225941
8425,1.996,2.0859539850354096
9226,0.633,0.9957721374109951
2393,0.94,1.2180227145114984
20290,1.868,2.3303484580923097
14181,1.17,2.0611999914340657
1328,1.178,1.7647672208109881
13771,1.21,1.611132072069239
5391,2.309,2.410599214014198
15809,4.273,2.6802540122847063
12310,1.281,1.377630059707684
10678,3.847,2.0964399687144564
16739,2.904,2.711199804951086
14095,0.913,1.097362815657739
9224,0.619,0.8811582604710821
20334,2.322,2.518546437338955
12872,1.296,1.1873972894507716
13443,1.275,1.233314590160198
10890,1.505,2.094937865743084
14615,1.875,1.6403011043279463
11497,4.379,4.329282901122376
9060,1.265,2.1158371010804515
9398,4.534,4.10599492562374
980,2.294,2.5412129853793104
17032,3.649,2.8183254338467876
19173,1.919,1.9772882501038325
5217,0.875,0.9355809570814202
3018,0.3,1.8034139719445506
10786,3.357,2.645251381911045
19076,2.421,2.028435774477245
3635,1.737,2.305853727180299
19897,0.541,0.5034431158228543
16627,2.078,2.519386534307266
2712,1.125,0.4204454242678892
6187,1.667,2.1026537550168953
16979,2.718,2.8405383618385684
14751,1.411,2.348882624460167
6920,3.75,1.3271783346427029
3669,1.616,1.594060768626342
11686,1.594,2.2704342568997546
16558,0.863,1.3493536667339256
18510,2.563,2.8678124851045297
3887,2.132,1.8323412036012385
11119,2.541,2.180156765701696
12113,1.326,1.8629843873007346
15330,1.693,1.1430038338585007
15840,3.477,2.7054083941091065
6143,1.597,1.9213670101359313
9250,0.909,1.8533553837339554
8066,2.905,2.397456697221692
6077,1.899,2.1116159843559856
4106,4.956,4.001265684054097
133,3.333,3.5042376804615003
1006,1.838,2.0474386239886044
6164,1.89,1.736253065167034
12495,1.575,1.079911617250481
3184,0.666,1.1603541016403014
13938,1.324,1.7631099873334577
4202,1.56,1.9451994535078896
5337,3.481,2.1708527056236377
9839,2.264,2.888407742776117
2796,0.742,0.30322252804811
10545,1.583,1.6393413926674185
18269,5.00001,4.833320914356683
7870,1.655,1.8080960747330153
17981,3.295,2.30925488025337
14090,1.396,1.9325573146163109
14914,1.529,2.051170765436936
8309,3.673,2.658026610636604
2533,0.7,0.7413253230094767
5203,0.974,1.84900898676554
19691,0.659,0.9668117000299574
2937,0.493,0.8591299598081577
6293,1.541,1.8608871955507524
8453,2.728,1.9490449258544942
5853,2.471,2.7749831361492667
451,2.688,1.5729859776957724
6896,2.476,2.0405741063065292
8810,4.168,3.3110018321487473
12928,1.216,1.3865772052002612
7365,1.717,2.1147192640525816
20414,1.738,2.1642855325179866
11545,2.356,2.55679359910733
6682,2.601,2.357042109329221
4375,2.0,1.86496569745956
7724,2.966,2.6362958589470225
18498,3.746,2.1565941390546044
1815,1.778,2.598717676788162
5948,2.695,2.537210537809557
2483,0.62,1.2931244139028806
3375,1.976,2.0519016890935333
16252,0.527,1.191423076701163
11266,1.914,2.3611214883988154
16080,3.177,2.8381548781397967
7639,3.294,2.3364188986429113
5547,3.307,3.1650480976740525
3455,1.874,2.5993768495116143
6385,2.865,2.118415255594215
12389,5.00001,1.319954309625409
1288,1.339,2.090547725602981
3886,1.998,2.559501783975449
2781,0.45,-0.15023192339562286
18115,3.546,3.46143678842828
5511,2.638,2.731818702793305
6433,2.784,1.964950555811555
8108,1.604,1.7097304414323844
10101,2.413,2.7663464758374943
1981,2.083,1.9295231106319406
17643,2.636,2.8731505973353464
15135,1.45,2.0834679137172785
19317,1.325,2.0453446945680227
4160,1.838,1.8140287413071192
2177,0.811,1.2296018744750299
3634,1.765,1.9442329153291453
5770,2.555,2.0185289843093344
7883,1.661,2.172585965307256
12964,1.02,1.602037367085579
13541,0.861,1.4941023189734395
